,0
0,94.0
1,93.0
2,96.0
3,91.0
4,96.0
5,92.0
6,94.0
7,94.0
8,92.0
9,92.0
10,94.0
11,93.0
12,94.0
13,91.0
14,96.0
15,93.0
16,94.0
17,95.0
18,92.0
19,92.0
20,92.0
21,95.0
22,89.0
23,92.0
24,94.0
25,94.0
26,91.0
27,94.0
28,92.0
29,94.0
30,90.0
31,96.0
32,93.0
33,92.0
34,91.0
35,91.0
36,91.0
37,90.0
38,91.0
39,92.0
40,94.0
41,91.0
42,95.0
43,93.0
44,93.0
45,94.0
46,94.0
47,93.0
48,90.0
49,93.0
50,92.0
51,92.0
52,94.0
53,93.0
54,91.0
55,92.0
56,90.0
57,90.0
58,93.0
59,91.0
60,93.0
61,92.0
62,92.0
63,91.0
64,92.0
65,92.0
66,92.0
67,93.0
68,91.0
69,89.0
70,91.0
71,91.0
72,92.0
73,91.0
74,92.0
75,92.0
76,90.0
77,94.0
78,92.0
79,93.0
80,91.0
81,90.0
82,92.0
83,91.0
84,93.0
85,94.0
86,92.0
87,92.0
88,89.0
89,89.0
90,92.0
91,93.0
92,92.0
93,93.0
94,93.0
95,93.0
96,93.0
97,90.0
98,94.0
99,91.0
100,89.0
101,93.0
102,90.0
103,90.0
104,92.0
105,92.0
106,94.0
107,92.0
108,91.0
109,92.0
110,92.0
111,92.0
112,92.0
113,90.0
114,89.0
115,91.0
116,92.0
117,89.0
118,92.0
119,85.0
120,90.0
121,92.0
122,91.0
123,88.0
124,89.0
125,92.0
126,91.0
127,89.0
128,90.0
129,91.0
130,91.0
131,93.0
132,94.0
133,91.0
134,93.0
135,90.0
136,92.0
137,88.0
138,91.0
139,90.0
140,91.0
141,92.0
142,93.0
143,90.0
144,90.0
145,93.0
146,90.0
147,90.0
148,93.0
149,88.0
150,88.0
151,91.0
152,89.0
153,93.0
154,90.0
155,88.0
156,92.0
157,88.0
158,89.0
159,90.0
160,91.0
161,91.0
162,91.0
163,93.0
164,90.0
165,91.0
166,91.0
167,92.0
168,87.0
169,92.0
170,90.0
171,94.0
172,91.0
173,92.0
174,90.0
175,91.0
176,93.0
177,90.0
178,89.0
179,90.0
180,93.0
181,89.0
182,89.0
183,90.0
184,88.0
185,92.0
186,92.0
187,90.0
188,90.0
189,93.0
190,91.0
191,88.0
192,91.0
193,89.0
194,92.0
195,88.0
196,91.0
197,90.0
198,92.0
199,93.0
200,93.0
201,90.0
202,92.0
203,92.0
204,88.0
205,90.0
206,92.0
207,90.0
208,94.0
209,89.0
210,93.0
211,88.0
212,91.0
213,90.0
214,90.0
215,93.0
216,91.0
217,92.0
218,94.0
219,90.0
220,91.0
221,89.0
222,92.0
223,91.0
224,90.0
225,91.0
226,92.0
227,90.0
228,89.0
229,92.0
230,90.0
231,92.0
232,92.0
233,92.0
234,93.0
235,92.0
236,89.0
237,90.0
238,93.0
239,91.0
240,89.0
241,93.0
242,91.0
243,91.0
244,93.0
245,91.0
246,89.0
247,88.0
248,89.0
249,90.0
250,92.0
251,91.0
252,90.0
253,92.0
254,91.0
255,90.0
256,91.0
257,87.0
258,90.0
259,87.0
260,90.0
261,91.0
262,91.0
263,89.0
264,91.0
265,91.0
266,92.0
