,0
0,157.0
1,157.0
2,158.0
3,160.0
4,155.0
5,154.0
6,156.0
7,156.0
8,156.0
9,156.0
10,157.0
11,160.0
12,157.0
13,156.0
14,157.0
15,155.0
16,158.0
17,158.0
18,156.0
19,156.0
20,156.0
21,155.0
22,156.0
23,155.0
24,160.0
25,160.0
26,157.0
27,155.0
28,159.0
29,154.0
30,157.0
31,157.0
32,162.0
33,157.0
34,155.0
35,159.0
36,156.0
37,157.0
38,155.0
39,159.0
40,158.0
41,156.0
42,155.0
43,158.0
44,159.0
45,155.0
46,156.0
47,156.0
48,157.0
49,156.0
50,154.0
51,157.0
52,157.0
53,157.0
54,155.0
55,158.0
56,156.0
57,157.0
58,158.0
59,159.0
60,158.0
61,154.0
62,157.0
63,156.0
64,154.0
65,156.0
66,159.0
67,161.0
68,157.0
69,158.0
70,156.0
71,158.0
72,156.0
73,157.0
74,155.0
75,157.0
76,155.0
77,155.0
78,158.0
79,157.0
80,156.0
81,155.0
82,156.0
83,159.0
84,156.0
85,156.0
86,155.0
87,159.0
88,158.0
89,157.0
90,155.0
91,157.0
92,160.0
93,157.0
94,156.0
95,157.0
96,157.0
97,157.0
98,159.0
99,157.0
100,156.0
101,157.0
102,159.0
103,155.0
104,156.0
105,155.0
106,156.0
107,156.0
108,156.0
109,158.0
110,158.0
111,158.0
112,155.0
113,157.0
114,155.0
115,155.0
116,158.0
117,157.0
118,157.0
119,156.0
120,159.0
121,157.0
122,155.0
123,159.0
124,156.0
125,157.0
126,156.0
127,155.0
128,156.0
129,155.0
130,158.0
131,157.0
132,157.0
133,155.0
134,157.0
135,153.0
136,155.0
137,157.0
138,159.0
139,159.0
140,159.0
141,159.0
142,157.0
143,158.0
144,157.0
145,157.0
146,157.0
147,157.0
148,156.0
149,155.0
150,155.0
151,158.0
152,157.0
153,158.0
154,154.0
155,154.0
156,156.0
157,154.0
158,157.0
159,156.0
160,159.0
161,155.0
162,157.0
163,156.0
164,159.0
165,155.0
166,159.0
167,155.0
168,159.0
169,154.0
170,158.0
171,153.0
172,154.0
173,158.0
174,156.0
175,157.0
176,156.0
177,156.0
178,160.0
179,156.0
180,155.0
181,158.0
182,159.0
183,159.0
184,156.0
185,159.0
186,156.0
187,156.0
188,154.0
189,156.0
190,156.0
191,159.0
192,158.0
193,156.0
194,157.0
195,157.0
196,158.0
197,160.0
198,157.0
199,156.0
200,155.0
201,159.0
202,157.0
203,159.0
204,156.0
205,157.0
206,156.0
207,158.0
208,160.0
209,156.0
210,156.0
211,156.0
212,157.0
213,158.0
214,156.0
215,156.0
216,156.0
217,157.0
218,156.0
219,156.0
220,157.0
221,157.0
222,156.0
223,156.0
224,157.0
225,158.0
226,155.0
227,159.0
228,155.0
229,154.0
230,157.0
231,154.0
232,155.0
233,158.0
234,157.0
235,160.0
236,158.0
