,0
0,46.0
1,46.0
2,44.0
3,47.0
4,44.0
5,44.0
6,46.0
7,44.0
8,46.0
9,47.0
10,47.0
11,46.0
12,47.0
13,47.0
14,45.0
15,44.0
16,45.0
17,44.0
18,45.0
19,45.0
20,45.0
21,47.0
22,47.0
23,43.0
24,45.0
25,46.0
26,46.0
27,46.0
28,45.0
29,44.0
30,41.0
31,43.0
32,45.0
33,43.0
34,43.0
35,46.0
36,47.0
37,44.0
38,46.0
39,43.0
40,46.0
41,48.0
42,43.0
43,47.0
44,43.0
45,42.0
46,46.0
47,43.0
48,44.0
49,46.0
50,47.0
51,45.0
52,43.0
53,47.0
54,42.0
55,43.0
56,44.0
57,43.0
58,45.0
59,43.0
60,43.0
61,43.0
62,46.0
63,48.0
64,45.0
65,42.0
66,44.0
67,47.0
68,42.0
69,44.0
70,45.0
71,45.0
72,48.0
73,44.0
74,43.0
75,44.0
76,46.0
77,46.0
78,48.0
79,42.0
80,44.0
81,42.0
82,44.0
83,45.0
84,43.0
85,43.0
86,43.0
87,45.0
88,48.0
89,44.0
90,43.0
91,46.0
92,43.0
93,45.0
94,46.0
95,46.0
96,46.0
97,45.0
98,44.0
99,44.0
100,44.0
101,45.0
102,45.0
103,41.0
104,45.0
105,43.0
106,44.0
107,46.0
108,45.0
109,43.0
110,43.0
111,43.0
112,44.0
113,45.0
114,43.0
115,44.0
116,43.0
117,40.0
118,44.0
119,42.0
120,45.0
121,41.0
122,47.0
123,44.0
124,46.0
125,43.0
126,42.0
127,44.0
128,43.0
129,43.0
130,39.0
131,42.0
132,43.0
133,46.0
134,43.0
135,47.0
136,42.0
137,42.0
138,42.0
139,41.0
140,43.0
141,44.0
142,43.0
143,44.0
144,43.0
145,43.0
146,42.0
147,45.0
148,43.0
149,43.0
150,41.0
151,43.0
152,45.0
153,42.0
154,43.0
155,44.0
156,45.0
157,43.0
158,44.0
159,42.0
160,45.0
161,43.0
162,43.0
163,42.0
164,41.0
165,43.0
166,43.0
167,40.0
168,43.0
169,46.0
170,44.0
171,41.0
172,43.0
173,41.0
174,43.0
175,46.0
176,43.0
177,41.0
178,41.0
179,42.0
180,42.0
181,44.0
182,40.0
183,43.0
184,44.0
185,45.0
186,43.0
187,44.0
188,41.0
189,40.0
190,42.0
191,45.0
192,43.0
193,42.0
194,44.0
195,40.0
196,42.0
197,41.0
198,43.0
199,43.0
200,43.0
201,42.0
202,44.0
203,40.0
204,43.0
205,40.0
206,45.0
207,44.0
208,43.0
209,42.0
210,41.0
211,41.0
212,45.0
213,45.0
214,44.0
215,43.0
216,41.0
217,41.0
218,40.0
219,43.0
220,41.0
221,40.0
222,46.0
223,41.0
224,43.0
225,42.0
226,43.0
227,44.0
228,40.0
229,40.0
230,43.0
231,45.0
232,43.0
233,44.0
234,41.0
235,43.0
236,43.0
237,44.0
238,43.0
239,44.0
240,43.0
241,43.0
242,42.0
243,43.0
244,43.0
245,44.0
246,43.0
247,43.0
248,43.0
249,41.0
250,42.0
251,42.0
252,41.0
253,43.0
254,42.0
255,44.0
256,43.0
257,42.0
258,46.0
259,43.0
260,44.0
261,45.0
262,44.0
263,43.0
264,42.0
265,41.0
266,42.0
267,41.0
268,41.0
269,44.0
270,43.0
271,42.0
272,43.0
273,39.0
274,43.0
275,43.0
276,42.0
277,44.0
278,42.0
279,42.0
280,45.0
281,44.0
282,43.0
283,43.0
284,42.0
285,42.0
286,43.0
287,42.0
288,43.0
289,40.0
290,43.0
291,41.0
292,42.0
293,43.0
294,44.0
295,46.0
296,45.0
297,45.0
298,43.0
299,45.0
300,43.0
301,43.0
302,45.0
303,45.0
304,43.0
305,45.0
306,44.0
307,43.0
308,44.0
309,45.0
310,44.0
311,43.0
312,47.0
313,44.0
314,45.0
315,44.0
316,43.0
317,43.0
318,43.0
319,44.0
320,44.0
321,46.0
322,43.0
323,43.0
324,44.0
325,43.0
326,43.0
327,43.0
328,46.0
329,43.0
330,46.0
331,44.0
332,45.0
333,44.0
334,44.0
335,44.0
336,42.0
337,45.0
338,44.0
339,43.0
340,43.0
341,43.0
342,44.0
343,44.0
344,44.0
345,45.0
346,43.0
347,44.0
348,43.0
349,43.0
350,43.0
351,44.0
352,46.0
353,43.0
354,44.0
355,43.0
356,43.0
357,44.0
358,45.0
359,43.0
360,41.0
361,44.0
362,43.0
363,43.0
364,45.0
365,45.0
366,44.0
367,43.0
368,43.0
369,43.0
370,43.0
371,41.0
372,45.0
373,45.0
374,45.0
375,43.0
376,44.0
377,44.0
378,43.0
379,43.0
380,43.0
381,43.0
382,43.0
383,43.0
384,42.0
385,44.0
386,42.0
387,44.0
388,42.0
389,43.0
390,42.0
391,44.0
392,44.0
393,45.0
394,43.0
395,42.0
396,43.0
397,44.0
398,43.0
399,40.0
400,44.0
401,44.0
402,42.0
403,42.0
404,44.0
405,44.0
406,43.0
407,43.0
408,44.0
409,43.0
410,44.0
411,44.0
412,43.0
413,43.0
414,42.0
415,40.0
416,47.0
417,43.0
418,41.0
419,44.0
420,42.0
421,43.0
422,43.0
423,44.0
424,43.0
425,43.0
426,44.0
427,45.0
428,46.0
429,43.0
430,43.0
431,45.0
432,43.0
433,46.0
434,44.0
435,45.0
436,41.0
437,44.0
438,44.0
439,43.0
440,43.0
441,43.0
442,44.0
443,44.0
444,43.0
445,42.0
446,44.0
447,47.0
448,45.0
449,45.0
450,44.0
451,44.0
452,43.0
453,44.0
454,45.0
455,40.0
456,43.0
457,44.0
458,43.0
459,45.0
460,42.0
461,43.0
462,46.0
463,44.0
464,45.0
465,46.0
466,43.0
467,43.0
468,42.0
469,44.0
470,43.0
471,43.0
472,43.0
473,45.0
474,46.0
475,43.0
476,45.0
477,44.0
478,43.0
479,45.0
480,42.0
481,43.0
482,42.0
483,43.0
484,43.0
485,43.0
486,43.0
487,45.0
488,41.0
489,43.0
490,46.0
491,43.0
492,42.0
493,42.0
494,43.0
495,44.0
496,45.0
497,45.0
498,44.0
499,43.0
500,41.0
501,43.0
502,44.0
503,43.0
504,43.0
505,43.0
506,42.0
507,43.0
508,44.0
509,44.0
510,41.0
511,44.0
512,41.0
513,43.0
514,43.0
515,40.0
516,44.0
517,42.0
518,43.0
519,42.0
520,41.0
521,40.0
522,44.0
523,42.0
524,42.0
525,43.0
526,42.0
527,43.0
528,43.0
529,39.0
530,43.0
531,42.0
532,40.0
533,40.0
534,43.0
535,43.0
536,43.0
537,45.0
538,42.0
539,42.0
540,46.0
541,42.0
542,42.0
543,39.0
544,44.0
545,43.0
546,41.0
547,42.0
548,42.0
549,45.0
550,43.0
551,44.0
552,43.0
553,44.0
554,44.0
555,43.0
556,44.0
557,45.0
558,44.0
559,44.0
560,43.0
561,45.0
562,43.0
563,43.0
564,43.0
565,42.0
566,42.0
567,45.0
568,43.0
569,42.0
570,40.0
571,45.0
572,42.0
573,44.0
574,42.0
575,38.0
576,43.0
577,43.0
578,43.0
579,44.0
580,43.0
581,42.0
582,43.0
583,40.0
584,45.0
585,43.0
586,44.0
587,44.0
588,42.0
589,45.0
590,44.0
591,43.0
592,42.0
593,46.0
594,41.0
595,45.0
596,46.0
597,43.0
598,44.0
599,45.0
600,43.0
601,43.0
602,43.0
603,44.0
604,43.0
605,43.0
606,43.0
607,43.0
608,46.0
609,43.0
610,42.0
611,45.0
612,45.0
613,41.0
614,44.0
615,42.0
616,46.0
617,45.0
618,44.0
619,43.0
620,44.0
621,42.0
622,45.0
623,44.0
