,0
0,75.0
1,75.0
2,75.0
3,74.0
4,73.0
5,75.0
6,74.0
7,76.0
8,71.0
9,73.0
10,74.0
11,74.0
12,77.0
13,75.0
14,71.0
15,72.0
16,75.0
17,70.0
18,71.0
19,74.0
20,75.0
21,72.0
22,71.0
23,75.0
24,74.0
25,74.0
26,72.0
27,73.0
28,74.0
29,72.0
30,71.0
31,72.0
32,71.0
33,70.0
34,74.0
35,69.0
36,70.0
37,72.0
38,73.0
39,71.0
40,73.0
41,73.0
42,75.0
43,74.0
44,75.0
45,71.0
46,74.0
47,73.0
48,73.0
49,73.0
50,74.0
51,73.0
52,76.0
53,75.0
54,69.0
55,73.0
56,73.0
57,72.0
58,74.0
59,72.0
60,74.0
61,71.0
62,69.0
63,72.0
64,72.0
65,73.0
66,71.0
67,72.0
68,72.0
69,71.0
70,72.0
71,74.0
72,71.0
73,74.0
74,74.0
75,72.0
76,71.0
77,72.0
78,71.0
79,72.0
80,73.0
81,71.0
82,72.0
83,73.0
84,72.0
85,76.0
86,72.0
87,70.0
88,73.0
89,73.0
90,72.0
91,77.0
92,74.0
93,73.0
94,70.0
95,74.0
96,75.0
97,73.0
98,75.0
99,73.0
100,74.0
101,73.0
102,73.0
103,74.0
104,71.0
105,74.0
106,75.0
107,74.0
108,74.0
109,71.0
110,74.0
111,72.0
112,74.0
113,72.0
114,73.0
115,72.0
116,75.0
117,70.0
118,74.0
119,75.0
120,71.0
121,73.0
122,73.0
123,71.0
124,75.0
125,74.0
126,75.0
127,71.0
128,71.0
129,68.0
130,72.0
131,74.0
132,71.0
133,75.0
134,73.0
135,75.0
136,71.0
137,69.0
138,73.0
139,73.0
140,76.0
141,74.0
142,74.0
143,73.0
144,75.0
145,74.0
146,70.0
147,73.0
148,75.0
149,72.0
150,74.0
151,73.0
152,76.0
153,71.0
154,71.0
155,75.0
156,75.0
157,75.0
158,72.0
159,72.0
160,75.0
161,76.0
162,72.0
163,72.0
164,74.0
165,75.0
166,73.0
167,75.0
168,71.0
169,73.0
170,74.0
171,71.0
172,73.0
173,74.0
174,73.0
175,74.0
176,74.0
177,74.0
178,72.0
179,72.0
180,73.0
181,72.0
182,75.0
183,74.0
184,75.0
185,76.0
186,75.0
187,74.0
188,73.0
189,73.0
190,71.0
191,74.0
192,75.0
193,75.0
194,72.0
195,75.0
196,72.0
197,72.0
198,74.0
199,73.0
200,72.0
201,73.0
202,74.0
203,73.0
204,73.0
205,73.0
206,74.0
207,76.0
208,75.0
209,75.0
210,72.0
211,75.0
212,75.0
213,73.0
214,77.0
215,74.0
216,73.0
217,72.0
218,76.0
219,73.0
220,74.0
221,76.0
222,76.0
223,76.0
224,75.0
225,74.0
226,71.0
227,74.0
228,72.0
229,73.0
230,74.0
231,71.0
232,76.0
233,70.0
234,77.0
235,74.0
236,76.0
237,71.0
238,73.0
239,75.0
240,72.0
241,74.0
242,72.0
243,73.0
244,74.0
245,73.0
246,73.0
247,74.0
248,74.0
249,73.0
250,73.0
251,73.0
252,75.0
253,76.0
254,74.0
255,73.0
256,74.0
257,76.0
258,71.0
259,74.0
260,74.0
261,70.0
262,73.0
263,71.0
264,74.0
265,75.0
266,75.0
267,72.0
268,74.0
269,74.0
270,76.0
271,70.0
272,76.0
273,75.0
274,74.0
275,75.0
276,76.0
277,76.0
278,71.0
279,73.0
280,74.0
281,76.0
282,73.0
283,72.0
284,76.0
285,72.0
286,75.0
287,74.0
288,73.0
289,74.0
290,75.0
291,74.0
292,75.0
293,73.0
294,77.0
295,74.0
296,73.0
297,72.0
298,78.0
299,71.0
300,72.0
301,77.0
302,75.0
303,77.0
304,77.0
305,74.0
306,76.0
307,71.0
308,74.0
309,74.0
310,75.0
311,74.0
312,73.0
313,79.0
314,75.0
315,76.0
316,74.0
317,77.0
318,71.0
319,73.0
320,73.0
321,72.0
322,76.0
323,74.0
324,72.0
325,74.0
326,74.0
327,78.0
328,73.0
329,74.0
330,75.0
331,74.0
332,74.0
333,77.0
334,74.0
335,70.0
336,74.0
337,75.0
338,75.0
339,77.0
340,73.0
341,74.0
342,73.0
343,73.0
344,73.0
345,75.0
346,75.0
347,75.0
348,73.0
349,71.0
350,74.0
351,74.0
352,75.0
353,72.0
354,75.0
355,73.0
356,73.0
357,76.0
358,73.0
359,78.0
360,74.0
361,73.0
362,75.0
363,75.0
364,76.0
365,75.0
366,74.0
367,76.0
368,74.0
369,75.0
370,73.0
371,77.0
372,74.0
373,73.0
374,75.0
375,72.0
376,74.0
377,76.0
378,74.0
379,76.0
380,72.0
381,71.0
382,74.0
383,72.0
384,74.0
385,74.0
386,76.0
387,77.0
388,75.0
389,74.0
390,73.0
391,72.0
392,71.0
393,76.0
394,73.0
395,74.0
396,73.0
397,75.0
398,73.0
399,77.0
400,74.0
401,71.0
402,72.0
403,75.0
404,73.0
405,72.0
406,76.0
407,75.0
408,75.0
409,74.0
410,77.0
411,74.0
412,74.0
413,77.0
414,76.0
415,76.0
416,73.0
417,74.0
418,72.0
419,77.0
420,76.0
421,76.0
422,76.0
423,74.0
424,76.0
425,76.0
426,75.0
427,73.0
428,72.0
429,77.0
430,72.0
431,77.0
432,73.0
433,72.0
434,71.0
435,75.0
436,73.0
437,75.0
438,73.0
439,73.0
440,75.0
441,74.0
442,75.0
443,75.0
444,74.0
445,76.0
446,75.0
447,75.0
448,76.0
449,78.0
450,73.0
451,75.0
452,73.0
453,73.0
454,73.0
455,73.0
456,74.0
457,76.0
458,73.0
459,74.0
460,76.0
461,71.0
462,76.0
463,78.0
464,74.0
465,73.0
466,75.0
467,72.0
468,75.0
469,72.0
470,76.0
471,75.0
472,75.0
473,75.0
474,73.0
475,73.0
476,78.0
477,72.0
478,75.0
479,78.0
480,74.0
481,71.0
482,75.0
483,73.0
484,75.0
485,77.0
486,76.0
487,75.0
488,76.0
489,72.0
490,71.0
491,73.0
492,72.0
493,75.0
494,76.0
495,74.0
496,74.0
497,73.0
498,75.0
499,72.0
500,76.0
501,77.0
502,77.0
503,73.0
504,75.0
505,73.0
506,76.0
507,76.0
508,74.0
509,72.0
510,72.0
511,74.0
512,72.0
513,74.0
514,74.0
515,76.0
516,77.0
517,76.0
518,74.0
519,71.0
520,75.0
521,74.0
522,73.0
523,75.0
524,73.0
525,73.0
526,75.0
527,73.0
528,72.0
529,75.0
530,75.0
531,76.0
532,75.0
533,72.0
534,75.0
535,70.0
536,78.0
537,73.0
538,75.0
539,73.0
540,73.0
541,73.0
542,72.0
543,75.0
544,76.0
545,76.0
546,73.0
547,74.0
548,72.0
549,72.0
550,73.0
551,73.0
552,75.0
553,75.0
554,77.0
555,71.0
556,75.0
557,73.0
558,72.0
559,76.0
560,75.0
561,75.0
562,73.0
563,74.0
564,76.0
565,73.0
566,73.0
567,75.0
568,76.0
569,73.0
570,75.0
571,72.0
572,73.0
573,73.0
574,74.0
575,73.0
576,74.0
577,74.0
578,75.0
579,76.0
580,75.0
581,73.0
582,76.0
583,74.0
584,76.0
585,78.0
586,72.0
587,77.0
588,74.0
589,74.0
590,74.0
591,75.0
592,71.0
593,75.0
594,73.0
595,72.0
596,76.0
597,71.0
598,74.0
599,74.0
600,73.0
601,73.0
602,76.0
603,76.0
604,75.0
605,72.0
606,74.0
607,74.0
608,73.0
609,75.0
610,73.0
611,73.0
612,74.0
613,70.0
614,75.0
615,76.0
616,73.0
617,73.0
618,75.0
619,74.0
620,74.0
621,71.0
622,72.0
623,75.0
624,75.0
625,75.0
626,73.0
627,73.0
628,73.0
629,74.0
630,71.0
631,75.0
632,74.0
633,72.0
634,77.0
635,74.0
636,75.0
637,72.0
638,72.0
639,76.0
640,74.0
641,73.0
642,75.0
643,74.0
644,72.0
645,77.0
646,72.0
647,72.0
648,75.0
649,74.0
650,76.0
651,74.0
652,73.0
653,71.0
654,75.0
655,69.0
656,72.0
657,70.0
658,74.0
659,78.0
660,72.0
661,72.0
662,76.0
663,75.0
664,72.0
665,74.0
666,73.0
667,75.0
668,71.0
669,75.0
670,73.0
671,74.0
672,75.0
673,74.0
674,72.0
675,70.0
676,75.0
677,74.0
678,74.0
679,72.0
680,76.0
681,73.0
682,73.0
683,74.0
684,76.0
685,73.0
686,77.0
687,74.0
688,75.0
689,74.0
690,73.0
691,71.0
692,72.0
693,72.0
694,74.0
695,76.0
696,76.0
697,72.0
698,73.0
699,77.0
700,73.0
701,71.0
702,71.0
703,75.0
704,74.0
705,74.0
706,72.0
707,73.0
708,74.0
709,71.0
710,73.0
711,73.0
712,74.0
713,73.0
714,74.0
715,70.0
716,74.0
717,73.0
718,74.0
719,74.0
720,74.0
721,74.0
722,74.0
723,75.0
724,76.0
725,71.0
726,74.0
727,71.0
728,75.0
729,73.0
730,71.0
731,74.0
732,74.0
733,70.0
734,71.0
735,72.0
736,72.0
737,73.0
738,71.0
739,74.0
740,74.0
741,73.0
742,75.0
743,75.0
744,71.0
745,72.0
746,75.0
747,73.0
748,74.0
749,75.0
750,74.0
751,73.0
752,77.0
753,72.0
754,72.0
755,72.0
756,70.0
757,70.0
758,75.0
759,72.0
760,73.0
761,73.0
762,69.0
763,70.0
764,75.0
765,75.0
766,73.0
767,72.0
768,71.0
769,74.0
770,72.0
771,75.0
772,73.0
773,75.0
774,70.0
775,73.0
776,76.0
777,75.0
778,71.0
779,72.0
780,76.0
781,74.0
782,72.0
783,71.0
784,74.0
785,74.0
786,71.0
787,72.0
788,71.0
789,72.0
790,73.0
791,73.0
792,76.0
793,73.0
794,74.0
795,71.0
796,72.0
797,72.0
798,73.0
799,72.0
800,73.0
801,73.0
802,74.0
803,75.0
804,72.0
805,76.0
806,75.0
807,76.0
808,72.0
809,76.0
810,72.0
811,72.0
812,73.0
813,73.0
814,71.0
815,72.0
816,78.0
817,74.0
818,76.0
819,73.0
820,76.0
821,73.0
822,73.0
823,74.0
824,74.0
825,74.0
826,74.0
827,72.0
828,74.0
829,71.0
830,73.0
831,71.0
832,72.0
833,72.0
834,74.0
835,72.0
836,72.0
837,74.0
838,72.0
839,72.0
840,73.0
841,73.0
842,74.0
843,73.0
844,71.0
845,73.0
846,70.0
847,72.0
848,74.0
849,72.0
850,71.0
851,76.0
852,74.0
853,72.0
854,72.0
855,74.0
856,76.0
857,72.0
858,70.0
859,73.0
860,76.0
861,73.0
862,72.0
863,70.0
864,74.0
865,75.0
866,73.0
867,72.0
868,74.0
869,75.0
870,73.0
871,75.0
872,74.0
873,72.0
874,76.0
875,72.0
876,73.0
877,72.0
878,72.0
879,75.0
880,74.0
881,72.0
882,74.0
883,72.0
884,72.0
885,75.0
886,74.0
887,74.0
888,75.0
889,72.0
890,75.0
891,73.0
892,72.0
893,72.0
894,72.0
895,72.0
896,73.0
897,73.0
898,71.0
899,73.0
900,68.0
901,72.0
902,68.0
903,73.0
904,72.0
905,69.0
906,71.0
907,73.0
908,70.0
909,74.0
910,75.0
911,72.0
912,74.0
913,73.0
914,75.0
915,71.0
916,74.0
917,76.0
918,74.0
919,73.0
920,71.0
921,73.0
922,72.0
923,73.0
924,73.0
925,72.0
926,71.0
927,71.0
928,74.0
929,71.0
930,70.0
931,71.0
932,70.0
933,72.0
934,72.0
935,72.0
936,71.0
937,70.0
938,72.0
939,70.0
940,72.0
941,74.0
942,73.0
943,70.0
944,74.0
945,72.0
946,70.0
