,0
0,170.0
1,170.0
2,166.0
3,172.0
4,169.0
5,173.0
6,171.0
7,175.0
8,170.0
9,173.0
10,173.0
11,171.0
12,171.0
13,172.0
14,174.0
15,171.0
16,175.0
17,172.0
18,172.0
19,174.0
20,172.0
21,171.0
22,171.0
23,173.0
24,172.0
25,172.0
26,173.0
27,169.0
28,171.0
29,172.0
30,171.0
31,170.0
32,171.0
33,173.0
34,171.0
35,172.0
36,171.0
37,170.0
38,174.0
39,172.0
40,170.0
41,173.0
42,171.0
43,172.0
44,173.0
45,174.0
46,170.0
47,172.0
48,169.0
49,169.0
50,172.0
51,170.0
52,172.0
53,173.0
54,170.0
55,169.0
56,170.0
57,170.0
58,169.0
59,172.0
60,173.0
61,175.0
62,170.0
63,170.0
64,172.0
65,170.0
66,173.0
67,171.0
68,173.0
69,172.0
70,173.0
71,169.0
72,172.0
73,173.0
74,170.0
75,172.0
76,171.0
77,171.0
78,170.0
79,171.0
80,171.0
81,171.0
82,170.0
83,169.0
84,169.0
85,169.0
86,172.0
87,172.0
88,172.0
89,173.0
90,172.0
91,170.0
92,171.0
93,171.0
94,175.0
95,171.0
96,167.0
97,169.0
98,168.0
99,170.0
100,171.0
101,172.0
102,173.0
103,169.0
104,174.0
105,174.0
106,172.0
107,168.0
108,173.0
109,172.0
110,169.0
111,171.0
112,173.0
113,170.0
114,169.0
115,173.0
116,170.0
117,171.0
118,170.0
119,171.0
120,170.0
121,168.0
122,173.0
123,172.0
124,174.0
125,170.0
126,173.0
127,172.0
128,170.0
129,175.0
130,171.0
131,174.0
132,173.0
133,171.0
134,173.0
135,169.0
136,173.0
137,170.0
138,170.0
139,170.0
140,171.0
141,170.0
142,171.0
143,173.0
144,168.0
145,170.0
146,172.0
147,168.0
148,171.0
149,169.0
150,172.0
151,172.0
152,168.0
153,170.0
154,174.0
155,171.0
156,172.0
157,172.0
158,171.0
159,175.0
160,171.0
161,171.0
162,176.0
163,172.0
164,175.0
165,171.0
166,172.0
167,170.0
168,174.0
169,169.0
170,172.0
171,171.0
172,172.0
173,170.0
174,173.0
175,172.0
176,171.0
177,175.0
178,171.0
179,173.0
180,174.0
181,172.0
182,169.0
183,172.0
184,169.0
185,170.0
186,170.0
187,172.0
188,169.0
189,173.0
190,168.0
191,171.0
192,175.0
193,172.0
194,170.0
195,172.0
196,171.0
197,171.0
198,172.0
199,173.0
200,171.0
201,170.0
202,171.0
203,169.0
204,169.0
205,173.0
206,169.0
207,172.0
208,172.0
209,171.0
210,172.0
211,169.0
212,172.0
213,171.0
214,172.0
215,176.0
216,170.0
217,171.0
218,173.0
219,168.0
220,175.0
221,170.0
222,171.0
223,174.0
224,169.0
225,173.0
226,173.0
227,172.0
228,174.0
229,171.0
230,170.0
231,170.0
232,172.0
233,173.0
234,169.0
235,176.0
236,170.0
237,172.0
238,173.0
239,172.0
240,167.0
241,170.0
242,172.0
243,172.0
244,170.0
245,171.0
246,174.0
247,173.0
248,171.0
249,172.0
250,171.0
251,171.0
252,170.0
253,169.0
254,170.0
255,174.0
256,171.0
257,171.0
258,167.0
259,176.0
260,170.0
261,174.0
262,172.0
263,170.0
264,170.0
265,173.0
266,168.0
267,172.0
268,169.0
269,168.0
270,172.0
271,172.0
272,170.0
273,171.0
274,173.0
275,169.0
276,173.0
277,173.0
278,173.0
279,171.0
280,174.0
281,172.0
282,174.0
283,175.0
284,168.0
285,171.0
286,169.0
287,173.0
288,169.0
289,173.0
290,174.0
291,173.0
292,170.0
293,169.0
294,171.0
295,170.0
296,174.0
297,173.0
298,171.0
299,172.0
300,172.0
301,171.0
302,173.0
303,170.0
304,174.0
305,172.0
306,171.0
307,171.0
308,173.0
309,175.0
310,174.0
311,172.0
312,170.0
313,171.0
314,173.0
315,172.0
316,171.0
317,170.0
318,170.0
319,174.0
320,169.0
321,174.0
322,173.0
