,0
0,17.0
1,16.0
2,17.0
3,19.0
4,16.0
5,18.0
6,17.0
7,18.0
8,17.0
9,17.0
10,16.0
11,17.0
12,18.0
13,16.0
14,16.0
15,18.0
16,18.0
17,17.0
18,15.0
19,18.0
20,18.0
21,16.0
22,19.0
23,19.0
24,14.0
25,17.0
26,17.0
27,18.0
28,15.0
29,18.0
30,16.0
31,17.0
32,17.0
33,19.0
34,17.0
35,19.0
36,18.0
37,18.0
38,17.0
39,21.0
40,18.0
41,20.0
42,16.0
43,18.0
44,16.0
45,20.0
46,20.0
47,21.0
48,17.0
49,17.0
50,16.0
51,16.0
52,20.0
53,19.0
54,16.0
55,19.0
56,17.0
57,20.0
58,18.0
59,16.0
60,19.0
61,18.0
62,17.0
63,18.0
64,17.0
65,19.0
66,19.0
67,19.0
68,18.0
69,19.0
70,16.0
71,21.0
72,20.0
73,17.0
74,19.0
75,20.0
76,17.0
77,18.0
78,17.0
79,18.0
80,21.0
81,20.0
82,16.0
83,15.0
84,20.0
85,21.0
86,19.0
87,20.0
88,18.0
89,16.0
90,19.0
91,19.0
92,18.0
93,18.0
94,22.0
95,21.0
96,19.0
97,17.0
98,19.0
99,17.0
100,19.0
101,20.0
102,19.0
103,20.0
104,19.0
105,17.0
106,20.0
107,15.0
108,18.0
109,21.0
110,16.0
111,17.0
112,21.0
113,21.0
114,17.0
115,17.0
116,18.0
117,18.0
118,21.0
119,19.0
120,18.0
121,17.0
122,17.0
123,18.0
124,20.0
125,19.0
126,21.0
127,22.0
128,19.0
129,18.0
130,17.0
131,18.0
132,19.0
133,17.0
134,22.0
135,20.0
136,17.0
137,16.0
138,19.0
139,20.0
140,20.0
141,18.0
142,20.0
143,16.0
144,18.0
145,18.0
146,18.0
147,16.0
148,21.0
149,17.0
150,19.0
151,17.0
152,18.0
153,16.0
154,21.0
155,18.0
156,20.0
157,18.0
158,19.0
159,15.0
160,19.0
161,21.0
162,19.0
163,18.0
164,19.0
165,24.0
166,18.0
167,19.0
168,18.0
169,18.0
170,16.0
171,16.0
172,17.0
173,17.0
174,18.0
175,18.0
176,22.0
177,17.0
178,19.0
179,17.0
180,20.0
181,21.0
182,17.0
183,20.0
184,21.0
185,18.0
