,0
0,247.0
1,247.0
2,245.0
3,243.0
4,245.0
5,243.0
6,246.0
7,247.0
8,245.0
9,246.0
10,246.0
11,246.0
12,246.0
13,246.0
14,245.0
15,245.0
16,240.0
17,245.0
18,249.0
19,247.0
20,243.0
21,244.0
22,250.0
23,246.0
24,248.0
25,242.0
26,242.0
27,243.0
28,241.0
29,246.0
30,244.0
31,246.0
32,244.0
33,246.0
34,243.0
35,241.0
36,247.0
37,246.0
38,244.0
39,245.0
40,242.0
41,245.0
42,243.0
43,246.0
44,243.0
45,244.0
46,243.0
47,243.0
48,245.0
49,243.0
50,246.0
51,244.0
52,241.0
53,243.0
54,245.0
55,242.0
56,240.0
57,246.0
58,245.0
59,244.0
60,245.0
61,246.0
62,242.0
63,246.0
64,242.0
65,245.0
66,246.0
67,245.0
68,244.0
69,243.0
70,245.0
71,246.0
72,243.0
73,250.0
74,242.0
75,242.0
76,247.0
77,248.0
78,246.0
79,247.0
80,242.0
81,243.0
82,247.0
83,243.0
84,244.0
85,246.0
86,244.0
87,246.0
88,244.0
89,247.0
90,245.0
91,243.0
92,247.0
93,246.0
94,244.0
95,242.0
96,244.0
97,243.0
98,247.0
99,246.0
100,247.0
101,243.0
102,247.0
103,245.0
104,243.0
105,244.0
106,244.0
107,244.0
108,245.0
109,243.0
110,243.0
111,243.0
112,244.0
113,246.0
114,246.0
115,242.0
116,243.0
117,243.0
118,244.0
119,246.0
120,244.0
121,246.0
122,247.0
123,243.0
124,245.0
125,243.0
126,246.0
127,241.0
128,241.0
129,241.0
130,244.0
131,246.0
132,245.0
133,242.0
134,247.0
135,244.0
136,243.0
137,246.0
138,247.0
139,243.0
140,243.0
141,241.0
142,246.0
143,243.0
144,246.0
145,244.0
146,245.0
147,243.0
148,243.0
149,238.0
150,241.0
151,244.0
152,244.0
153,243.0
154,243.0
155,241.0
156,246.0
157,243.0
158,241.0
159,244.0
160,245.0
161,244.0
162,246.0
163,243.0
164,244.0
165,246.0
166,246.0
167,243.0
168,243.0
169,242.0
170,244.0
171,238.0
172,241.0
173,240.0
174,242.0
175,241.0
176,242.0
177,247.0
178,248.0
179,247.0
180,246.0
181,244.0
182,247.0
183,245.0
184,243.0
185,248.0
186,246.0
187,245.0
188,242.0
189,246.0
190,242.0
191,245.0
192,243.0
193,249.0
194,243.0
195,244.0
196,245.0
197,243.0
198,248.0
199,247.0
200,247.0
201,245.0
202,244.0
203,243.0
204,246.0
205,246.0
206,242.0
207,247.0
208,244.0
209,246.0
210,247.0
211,246.0
212,244.0
213,243.0
214,244.0
215,245.0
216,242.0
217,247.0
218,247.0
219,249.0
220,245.0
221,247.0
222,244.0
223,246.0
224,245.0
225,243.0
226,245.0
227,245.0
228,242.0
229,244.0
230,244.0
231,245.0
232,243.0
233,245.0
234,242.0
235,243.0
236,246.0
237,247.0
238,249.0
239,244.0
240,241.0
241,244.0
242,242.0
243,246.0
244,246.0
245,242.0
246,248.0
247,247.0
248,246.0
249,243.0
250,244.0
251,242.0
252,245.0
253,247.0
254,244.0
255,243.0
256,246.0
257,243.0
258,247.0
259,243.0
260,243.0
261,247.0
262,248.0
263,248.0
264,245.0
265,245.0
266,246.0
267,244.0
268,243.0
269,245.0
270,247.0
271,247.0
272,245.0
273,241.0
274,241.0
275,241.0
276,245.0
277,249.0
278,246.0
279,245.0
280,242.0
281,243.0
282,246.0
283,243.0
284,246.0
285,247.0
286,246.0
287,241.0
288,245.0
289,245.0
290,244.0
291,244.0
292,245.0
293,241.0
294,242.0
295,244.0
