,0
799,99
800,102
801,102
802,101
803,100
804,101
805,101
806,102
807,101
808,105
809,97
810,99
811,100
812,97
813,99
814,99
815,101
816,98
817,100
818,101
819,98
820,101
821,101
822,98
823,103
824,103
825,101
826,101
827,101
828,100
829,99
830,97
831,99
832,101
833,100
834,97
835,99
836,101
837,101
838,102
839,100
840,100
841,100
842,102
843,101
844,100
845,101
846,99
847,100
848,100
849,101
850,100
851,97
852,99
853,102
854,100
855,99
856,98
857,99
858,99
859,100
860,100
861,101
862,102
863,104
864,102
865,99
866,101
867,95
868,99
869,103
870,101
871,96
872,101
873,101
874,100
875,100
876,100
877,99
878,101
879,102
880,100
881,98
882,98
883,99
884,102
885,98
886,101
887,101
888,103
889,101
890,101
891,99
892,99
893,100
894,99
895,102
896,101
897,100
898,100
899,100
900,102
901,99
902,101
903,99
904,102
905,101
906,100
907,99
908,103
909,101
910,102
911,104
912,103
913,99
914,100
915,99
916,99
917,102
918,102
919,104
920,100
921,100
922,100
923,98
924,101
925,101
926,100
927,97
928,101
929,99
930,101
931,98
932,100
933,103
934,100
935,100
936,101
937,99
938,101
939,100
940,98
941,101
942,101
943,103
944,98
945,99
946,100
947,101
948,100
